relative_path,final_sha256,hacker_sha256,same_hash,final_bytes,hacker_bytes
README.md,ccedc438981d8aa5a1b1b659f7c8d6bd58af6eda4329838c32dd4b132436a3e1,ccedc438981d8aa5a1b1b659f7c8d6bd58af6eda4329838c32dd4b132436a3e1,True,4347,4347
kaggle_sft_data/dataset_generated.csv,dd3160e264585cb1902cdf481c31ac62a2d945a0eb481068eee9f45a56351f0a,dd3160e264585cb1902cdf481c31ac62a2d945a0eb481068eee9f45a56351f0a,True,48670122,48670122
kaggle_trajectories/nemotron_traj.csv,01da9b309daedf18c9bcff9e0766b3deb7d736a1d350c73ded47775a8b66685e,01da9b309daedf18c9bcff9e0766b3deb7d736a1d350c73ded47775a8b66685e,True,139456207,139456207
sft_train_converted.jsonl,69aee7ddaed6b7d55a6792f03ad960e44a10e1974cffe2f184514646f68fd228,69aee7ddaed6b7d55a6792f03ad960e44a10e1974cffe2f184514646f68fd228,True,59672150,59672150
sft_train_full_9500.jsonl,8b5cead5c539a81761ec00cb43aa32ae5f2b277a4d7a252b98135d5693912a35,8b5cead5c539a81761ec00cb43aa32ae5f2b277a4d7a252b98135d5693912a35,True,57034518,57034518
sft_train_reconstructed.jsonl,1434811d65cbf68fd17d391cb2fce77426183666f59d7cf6ca4fddf8b4fe5a91,1434811d65cbf68fd17d391cb2fce77426183666f59d7cf6ca4fddf8b4fe5a91,True,96207995,96207995
