ref,title,author,lastRunTime,totalVotes
tuetrandoanminh/pretrain-vanilla-d2048-15b-seed1,pretrain-vanilla-d2048-15b-seed1,Tue Tran Doan Minh,2026-05-11 11:16:20.713000,0
tanluu/eval-pcc-d2048-reason,eval-pcc-d2048-reason,tan luu,2026-05-11 10:53:05.443000,0
leehoangquan006/eval-hr-d1280-reason,eval-hr-d1280-reason,Lê Hoàng Quân,2026-05-11 10:53:05.380000,0
phmthanhlm24022379/eval-pcc-matched-1b,eval-pcc-matched-1b, Phạm Thanh Lâm 24022379,2026-05-11 10:53:04.547000,0
phmthanhlm24022379/eval-hybrid-d1280-l8,eval-hybrid-d1280-l8, Phạm Thanh Lâm 24022379,2026-05-11 10:53:05.647000,0
leehoangquan006/eval-pcc-iter-d1280-2b,eval-pcc-iter-d1280-2b,Lê Hoàng Quân,2026-05-11 01:06:29.743000,0
namphmbuwu/eval-vanilla-iter-d2048-s1,eval-vanilla-iter-d2048-s1,Nam Phạm Bá UWU,2026-05-11 00:48:57.823000,0
namphmbuwu/pretrain-vanilla-iter-d2048-15b-s2,pretrain-vanilla-iter-d2048-15b-s2,Nam Phạm Bá UWU,2026-05-10 16:57:58.433000,0
truongdinhduc06/eval-xloop-d1280-s2,eval-xloop-d1280-s2,Trương Đình Đức,2026-05-10 16:05:09.457000,0
hduong/eval-vanilla-d2048-s3,eval-vanilla-d2048-s3,Hoang Duong,2026-05-10 16:05:08.317000,0
anng1112/probe-r12-pcc-qkv-bias-v2,probe-r12-pcc-qkv-bias-v2,Nguyen An,2026-05-10 11:07:02.567000,0
tuetrandoanminh/probe-probe-xloop-d1280,probe-probe-xloop-d1280,Tue Tran Doan Minh,2026-05-10 10:37:43.913000,0
zhongzhing/probe-probe-vanilla-d2048-4b,probe-probe-vanilla-d2048-4b,Zhong Zhing ,2026-05-10 10:37:44.550000,0
truongdinhduc06/probe-probe-pcc-d2048,probe-probe-pcc-d2048,Trương Đình Đức,2026-05-10 10:37:43.530000,0
anng1112/pretrain-r12-pcc-qkv-bias-d1024,pretrain-r12-pcc-qkv-bias-d1024,Nguyen An,2026-05-10 10:29:14.437000,0
tuetrandoanminh/repr-flow-xloop-d1280-v2,repr-flow-xloop-d1280-v2,Tue Tran Doan Minh,2026-05-10 10:00:04.857000,0
truongdinhduc06/repr-flow-pcc-d2048,repr-flow-pcc-d2048,Trương Đình Đức,2026-05-10 09:55:50.163000,0
zhongzhing/repr-flow-vanilla-d2048-4b,repr-flow-vanilla-d2048-4b,Zhong Zhing ,2026-05-10 09:55:49.760000,0
anng1112/dim-flow-r11-mol,dim-flow-r11-mol,Nguyen An,2026-05-10 09:07:47.083000,0
