ref,title,author,lastRunTime,totalVotes
markjcooper/thk-public-fork-2026-05-14-v10-kienngx,THK public fork 2026-05-14 v10 kienngx,Mark Cooper,2026-05-14 17:39:24.513000,2
markjcooper/thk-public-fork-2026-05-14-v13-kienngx,THK public fork 2026-05-14 v13 kienngx,Mark Cooper,2026-05-14 17:25:43.577000,1
matthewblakeward/steinifrank,SteinIFrank,Matthew Blake Ward,2026-05-14 16:59:15.697000,14
skripsipesolmokelar/fork-of-oracle-full-run-desire-create-allies-norm,Fork of oracle_full_run_desire_create_allies_norm,skripsi pesol mo kelar,2026-05-14 15:12:23.270000,0
quan242/nvidia-nemotron-reasoning-dataset-gen,nvidia-nemotron-reasoning-dataset-gen,quan242,2026-05-14 14:54:20.843000,0
skripsipesolmokelar/fork-of-oracle-full-run-desire-create-allies,Fork of oracle_full_run_desire_create_allies,skripsi pesol mo kelar,2026-05-14 14:45:26.767000,1
wkingedewd/new1forcompetion,new1forcompetion,wking edewd,2026-05-14 14:02:13.227000,2
syu21125/nemotron-v39-huikang-reasoning-sft-submit,Nemotron v39 huikang reasoning sft submit,SYU21125,2026-05-14 13:08:14.740000,0
jiazhuang/nemotron-local-cv,nemotron local cv,Zhuang Jia,2026-05-14 12:55:31.167000,18
markjcooper/thk-v27-fork-2026-05-14,THK V27 fork 2026-05-14,Mark Cooper,2026-05-14 12:31:09.367000,0
privatepiecerec/submission-qc-5-layer-framework,Submission QC: 5-Layer Framework,PrivatePieceRec,2026-05-14 12:12:30.927000,0
privatepiecerec/nemotron-reasoning-task-family-tour,Nemotron Reasoning: Task Family Tour,PrivatePieceRec,2026-05-14 12:03:53.327000,3
markjcooper/thk-public-fork-2026-05-14-v14-tinker-adapter,THK public fork 2026-05-14 (v14 tinker-adapter),Mark Cooper,2026-05-14 10:37:03.837000,28
sonlee25/nvidia-nemotron-submission-demo,NVIDIA Nemotron Submission Demo,Sơn Lê,2026-05-14 10:08:34.650000,0
